[2020-08-18 23:20:02,822][INFO] Parameters: 25638992
[2020-08-18 23:20:02,846][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:22:20,476][INFO] Parameters: 25638992
[2020-08-18 23:22:20,504][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:23:21,586][INFO] Parameters: 25638992
[2020-08-18 23:23:21,613][INFO] Start training from epoch: 0, iter: 0
[2020-08-19 00:10:36,219][INFO] [epoch:4/20, steps:5600/25432, lr:2.000e-04, loss:8.3508] 
[2020-08-19 00:10:57,317][INFO] [epoch:4/20, steps:5650/25432, lr:2.000e-04, loss:8.7754] 
[2020-08-19 00:11:18,347][INFO] [epoch:4/20, steps:5700/25432, lr:2.000e-04, loss:8.8311] 
[2020-08-19 00:11:40,101][INFO] [epoch:4/20, steps:5750/25432, lr:2.000e-04, loss:8.8679] 
[2020-08-19 00:12:00,955][INFO] [epoch:4/20, steps:5800/25432, lr:2.000e-04, loss:8.9838] 
[2020-08-19 00:12:21,994][INFO] [epoch:4/20, steps:5850/25432, lr:2.000e-04, loss:9.5509] 
[2020-08-19 00:12:44,001][INFO] [epoch:4/20, steps:5900/25432, lr:2.000e-04, loss:9.5316] 
[2020-08-19 00:13:04,985][INFO] [epoch:4/20, steps:5950/25432, lr:2.000e-04, loss:9.9644] 
[2020-08-19 00:13:26,116][INFO] [epoch:4/20, steps:6000/25432, lr:2.000e-04, loss:9.9604] 
[2020-08-19 00:13:47,690][INFO] [epoch:4/20, steps:6050/25432, lr:2.000e-04, loss:8.934] 
[2020-08-19 00:14:08,409][INFO] [epoch:4/20, steps:6100/25432, lr:2.000e-04, loss:8.8879] 
[2020-08-19 00:14:29,275][INFO] [epoch:4/20, steps:6150/25432, lr:2.000e-04, loss:8.5491] 
[2020-08-19 00:14:50,813][INFO] [epoch:4/20, steps:6200/25432, lr:2.000e-04, loss:8.7088] 
[2020-08-19 00:15:11,652][INFO] [epoch:4/20, steps:6250/25432, lr:2.000e-04, loss:9.0775] 
[2020-08-19 00:15:32,899][INFO] [epoch:4/20, steps:6300/25432, lr:2.000e-04, loss:9.001] 
[2020-08-19 00:15:54,617][INFO] [epoch:4/20, steps:6350/25432, lr:2.000e-04, loss:8.2138] 
[2020-08-19 00:17:02,564][INFO] [epoch:4 end, mean_acc:0.91725]
[2020-08-19 00:17:02,565][INFO] {'5_o_Clock_Shadow': 0.9399003372426638, 'Arched_Eyebrows': 0.8621835204107313, 'Attractive': 0.8107917652388383, 'Bags_Under_Eyes': 0.8438616801731514, 'Bald': 0.9891276991996779, 'Bangs': 0.9559571148135099, 'Big_Lips': 0.84778778879549, 'Big_Nose': 0.8353047767654905, 'Black_Hair': 0.9192127648864952, 'Blond_Hair': 0.9552020939245985, 'Blurry': 0.9637589973322596, 'Brown_Hair': 0.8558916796698042, 'Bushy_Eyebrows': 0.9237428902199627, 'Chubby': 0.956460462072784, 'Double_Chin': 0.964061005687824, 'Eyeglasses': 0.995167866310968, 'Goatee': 0.9674837670508885, 'Gray_Hair': 0.978406402577138, 'Heavy_Makeup': 0.9237428902199627, 'High_Cheekbones': 0.8776362812704485, 'Male': 0.9855539336588313, 'Mouth_Slightly_Open': 0.9357728897166155, 'Mustache': 0.9564101273468566, 'Narrow_Eyes': 0.9395983288870993, 'No_Beard': 0.9618462777470177, 'Oval_Face': 0.7623194241707354, 'Pale_Skin': 0.9673327628731061, 'Pointy_Nose': 0.7718326873710173, 'Receding_Hairline': 0.947651885035486, 'Rosy_Cheeks': 0.9474505461317763, 'Sideburns': 0.969849499169477, 'Smiling': 0.9299843962349625, 'Straight_Hair': 0.8475361151658529, 'Wavy_Hair': 0.850556198721498, 'Wearing_Earrings': 0.9106558614788343, 'Wearing_Hat': 0.9880203352292747, 'Wearing_Lipstick': 0.9246489152866563, 'Wearing_Necklace': 0.8881059042633512, 'Wearing_Necktie': 0.9609905874062515, 'Young': 0.8781396285297227}
[2020-08-19 00:17:19,991][INFO] [epoch:5/20, steps:6400/25432, lr:2.000e-04, loss:8.0566] 
[2020-08-19 00:17:40,873][INFO] [epoch:5/20, steps:6450/25432, lr:2.000e-04, loss:7.7815] 
[2020-08-19 00:18:01,821][INFO] [epoch:5/20, steps:6500/25432, lr:2.000e-04, loss:7.8471] 
[2020-08-19 00:18:23,460][INFO] [epoch:5/20, steps:6550/25432, lr:2.000e-04, loss:8.8301] 
[2020-08-19 00:18:44,305][INFO] [epoch:5/20, steps:6600/25432, lr:2.000e-04, loss:8.9761] 
[2020-08-19 00:19:05,420][INFO] [epoch:5/20, steps:6650/25432, lr:2.000e-04, loss:8.4233] 
[2020-08-19 00:19:26,966][INFO] [epoch:5/20, steps:6700/25432, lr:2.000e-04, loss:8.425] 
[2020-08-19 00:19:48,087][INFO] [epoch:5/20, steps:6750/25432, lr:2.000e-04, loss:7.7074] 
[2020-08-19 00:20:09,186][INFO] [epoch:5/20, steps:6800/25432, lr:2.000e-04, loss:7.6739] 
[2020-08-19 00:20:30,509][INFO] [epoch:5/20, steps:6850/25432, lr:2.000e-04, loss:9.3275] 
[2020-08-19 00:20:51,342][INFO] [epoch:5/20, steps:6900/25432, lr:2.000e-04, loss:9.2214] 
[2020-08-19 00:21:11,910][INFO] [epoch:5/20, steps:6950/25432, lr:2.000e-04, loss:7.5808] 
[2020-08-19 00:21:33,328][INFO] [epoch:5/20, steps:7000/25432, lr:2.000e-04, loss:7.6118] 
